,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TRPL_DBL,DBL_DBL,Fantasy_PTS
7,AJ Griffin,15,1.0,6.0,0.167,1.0,6.0,0.167,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,-6.0,False,False,7.5
6,AJ Griffin,23,3.0,5.0,0.6,3.0,4.0,0.75,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,11.0,-2.0,False,False,18.75
6,AJ Griffin,24,4.0,8.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,3.0,False,False,21.25
1,AJ Griffin,35,7.0,11.0,0.636,3.0,6.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,3.0,17.0,-8.0,False,False,27.5
6,AJ Griffin,20,3.0,9.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,6.0,-21.0,False,False,12.25
6,AJ Griffin,31,10.0,15.0,0.667,2.0,6.0,0.333,2.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,2.0,24.0,28.0,False,False,37.0
6,AJ Griffin,30,8.0,15.0,0.533,1.0,6.0,0.167,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,2.0,17.0,-6.0,False,False,29.25
6,AJ Griffin,21,3.0,13.0,0.231,2.0,9.0,0.222,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,-3.0,False,False,13.5
7,AJ Griffin,23,6.0,12.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15.0,7.0,False,False,21.25
1,Aaron Gordon,35,10.0,13.0,0.769,3.0,4.0,0.75,4.0,5.0,0.8,5.0,3.0,1.0,0.0,0.0,0.0,27.0,-1.0,False,False,41.25
1,Aaron Gordon,31,7.0,12.0,0.583,2.0,4.0,0.5,4.0,7.0,0.571,6.0,2.0,0.0,1.0,1.0,2.0,20.0,12.0,False,False,33.0
1,Aaron Gordon,27,12.0,16.0,0.75,0.0,2.0,0.0,2.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,4.0,26.0,-16.0,False,False,34.5
3,Aaron Gordon,37,10.0,16.0,0.625,4.0,5.0,0.8,7.0,11.0,0.636,8.0,4.0,0.0,2.0,1.0,1.0,31.0,5.0,False,False,52.5
3,Aaron Gordon,21,1.0,4.0,0.25,1.0,3.0,0.333,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,False,False,7.75
4,Aaron Gordon,13,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,4.0,4.0,7.0,False,False,8.75
1,Aaron Gordon,34,5.0,8.0,0.625,1.0,3.0,0.333,7.0,9.0,0.778,16.0,6.0,1.0,1.0,5.0,2.0,18.0,4.0,False,True,50.5
4,Aaron Gordon,27,12.0,16.0,0.75,2.0,4.0,0.5,3.0,4.0,0.75,7.0,3.0,2.0,2.0,1.0,4.0,29.0,13.0,False,False,50.75
3,Aaron Gordon,30,7.0,11.0,0.636,3.0,4.0,0.75,1.0,2.0,0.5,6.0,0.0,0.0,2.0,1.0,3.0,18.0,17.0,False,False,30.5
4,Aaron Gordon,29,3.0,5.0,0.6,0.0,1.0,0.0,3.0,5.0,0.6,5.0,5.0,4.0,1.0,0.0,1.0,9.0,10.0,False,False,32.75
3,Aaron Gordon,32,10.0,17.0,0.588,0.0,2.0,0.0,2.0,2.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,22.0,-7.0,False,True,42.5
2,Aaron Gordon,25,4.0,6.0,0.667,1.0,1.0,1.0,4.0,6.0,0.667,5.0,2.0,0.0,0.0,1.0,2.0,13.0,24.0,False,False,22.25
3,Aaron Gordon,28,5.0,12.0,0.417,0.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,10.0,-10.0,False,False,16.75
2,Aaron Gordon,28,2.0,8.0,0.25,0.0,3.0,0.0,2.0,4.0,0.5,9.0,5.0,0.0,2.0,0.0,1.0,6.0,19.0,False,False,28.75
4,Aaron Gordon,22,4.0,6.0,0.667,0.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,8.0,15.0,False,False,18.5
4,Aaron Gordon,28,7.0,10.0,0.7,1.0,2.0,0.5,2.0,5.0,0.4,7.0,1.0,1.0,1.0,3.0,3.0,17.0,21.0,False,False,30.25
2,Aaron Gordon,28,3.0,9.0,0.333,1.0,3.0,0.333,4.0,8.0,0.5,10.0,2.0,0.0,2.0,2.0,0.0,11.0,19.0,False,True,31.5
2,Aaron Gordon,30,6.0,10.0,0.6,1.0,2.0,0.5,4.0,6.0,0.667,7.0,2.0,0.0,0.0,0.0,3.0,17.0,-4.0,False,False,29.25
6,Aaron Holiday,23,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,4.0,15.0,False,False,12.0
6,Aaron Holiday,18,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,False,False,5.0
6,Aaron Holiday,24,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,-5.0,False,False,7.25
6,Aaron Holiday,20,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,18.0,False,False,12.75
6,Aaron Holiday,24,3.0,7.0,0.429,1.0,1.0,1.0,1.0,2.0,0.5,2.0,3.0,0.0,1.0,1.0,3.0,8.0,-14.0,False,False,17.0
6,Aaron Holiday,21,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,5.0,-7.0,False,False,13.75
7,Aaron Holiday,18,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,-4.0,False,False,7.25
6,Aaron Holiday,27,5.0,6.0,0.833,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,14.0,17.0,False,False,27.0
7,Aaron Holiday,15,1.0,2.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,2.0,-5.0,False,False,5.0
1,Aaron Holiday,24,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,4.0,14.0,False,False,13.0
4,Aaron Nesmith,29,4.0,6.0,0.667,2.0,4.0,0.5,5.0,7.0,0.714,7.0,3.0,1.0,0.0,1.0,2.0,15.0,9.0,False,False,30.75
7,Aaron Nesmith,25,5.0,10.0,0.5,5.0,8.0,0.625,4.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,19.0,17.0,False,False,24.75
7,Aaron Nesmith,22,1.0,8.0,0.125,1.0,5.0,0.2,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,False,False,10.0
3,Aaron Nesmith,25,3.0,7.0,0.429,1.0,4.0,0.25,3.0,4.0,0.75,2.0,1.0,2.0,1.0,1.0,0.0,10.0,0.0,False,False,20.0
7,Aaron Nesmith,23,3.0,10.0,0.3,2.0,5.0,0.4,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,4.0,8.0,-8.0,False,False,19.0
3,Aaron Nesmith,22,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,4.0,2.0,-6.0,False,False,10.25
7,Aaron Nesmith,22,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,False,False,11.25
2,Aaron Nesmith,23,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,7.0,-3.0,False,False,14.25
4,Aaron Nesmith,17,4.0,9.0,0.444,1.0,4.0,0.25,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,9.0,6.0,False,False,13.0
4,Aaron Nesmith,23,5.0,10.0,0.5,4.0,7.0,0.571,2.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,4.0,16.0,-10.0,False,False,27.0
0,Aaron Nesmith,30,3.0,7.0,0.429,2.0,6.0,0.333,1.0,1.0,1.0,8.0,2.0,1.0,0.0,4.0,4.0,9.0,14.0,False,False,23.0
3,Aaron Nesmith,25,1.0,9.0,0.111,1.0,5.0,0.2,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,-13.0,False,False,8.75
4,Aaron Nesmith,17,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,4.0,9.0,-10.0,False,False,17.25
2,Aaron Wiggins,27,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,5.0,4.0,0.0,0.0,0.0,0.0,5.0,18.0,False,False,17.25
0,Aaron Wiggins,34,4.0,7.0,0.571,3.0,6.0,0.5,0.0,0.0,0.0,6.0,3.0,1.0,0.0,1.0,3.0,11.0,16.0,False,False,26.0
7,Aaron Wiggins,20,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,3.0,10.0,-1.0,False,False,24.25
6,Aaron Wiggins,25,1.0,3.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,2.0,1.0,0.0,1.0,0.0,0.0,5.0,-7.0,False,False,11.0
